Ngày bán,Tên món gốc,Size,Số lượng,Doanh thu
01/08/2026,Topping Trân Châu Đen,Không ghi rõ,6,42000
01/08/2026,Topping Trân Châu Ngọc Trai,Không ghi rõ,6,42000
01/08/2026,Matcha Latte Sữa Gấu,M,6,264000
01/08/2026,Matcha Đá Xay,S,6,210000
01/08/2026,Olong Sen Nhãn,M,6,264000
01/08/2026,Olong Mơ Thanh Mai,M,6,264000
01/08/2026,Cà Phê Phindi Hạnh Nhân,S,6,210000
01/08/2026,Xiên Há Cảo Chiên,Không ghi rõ,5,95000
01/08/2026,Topping Khúc Bạch Phomai,Không ghi rõ,5,35000
01/08/2026,Cà Phê Phindi Hạnh Nhân,M,5,220000
01/08/2026,Xiên Hồ Lô Chiên,Không ghi rõ,5,125000
01/08/2026,Việt Quất Đá Xay,S,5,175000
01/08/2026,Matcha Coconut,M,5,220000
01/08/2026,Sữa Chua Dâu Tây,M,4,164000
01/08/2026,Oolong Sen Nhãn Lá Nếp,M,4,176000
01/08/2026,Trà Sữa Hạnh Nhân Phomai,M,4,176000
01/08/2026,Cà Phê Phindi Caramel,S,4,140000
01/08/2026,Topping Trân Châu Bánh Bò,Không ghi rõ,4,28000
01/08/2026,Topping Hạt Đác,Không ghi rõ,4,28000
01/08/2026,Bạc Sỉu,L,3,127672
01/08/2026,Trà Sữa Truyền Thống Trân Châu,M,3,123000
01/08/2026,Trà Đào,L,3,153000
01/08/2026,Xiên Tôm Viên Chiên,Không ghi rõ,3,57000
01/08/2026,Trà Vải Lài,M,3,132000
01/08/2026,Trà Đào Cam Sả,L,3,153000
01/08/2026,Trà Sữa Trân Châu Oreo Dầm,M,3,132000
01/08/2026,Trà Sữa Hạnh Nhân Phomai,L,3,153000
01/08/2026,Sữa Chua Việt Quât,L,3,144000
01/08/2026,Sữa Tươi Trân Châu Đường Đen,M,3,132000
01/08/2026,Sữa Chua Xoài Thơm Đác,M,3,132000
01/08/2026,Olong Sen Nhãn,L,3,153000
01/08/2026,Oolong Sen Nhãn Lá Nếp,L,3,153000
01/08/2026,Trà Dưa Lưới Tứ Quý,M,3,132000
01/08/2026,Cafe Muối,L,2,88000
01/08/2026,Matcha Sen Lài Dừa,M,2,88000
01/08/2026,Cà Phê Phindi Caramel,M,2,88000
01/08/2026,Nước Cam Tươi,L,2,92000
01/08/2026,Pho Mai Que Chiên,Không ghi rõ,2,38000
01/08/2026,Sữa Chua Xoài Thơm Đác,L,2,102000
01/08/2026,Sữa Tươi Trân Châu Bánh Bò,M,2,88000
01/08/2026,Trà Sữa Kem Dẻo Phô Mai,M,2,73558
01/08/2026,Trà Trái Cây Nhiệt Đới,L,2,102000
01/08/2026,Trà Đào,M,2,88000
01/08/2026,Việt Quất Đá Xay,M,2,88000
01/08/2026,Olong Mơ Thanh Mai,L,2,102000
01/08/2026,Trà Dưa Lưới Tứ Quý,L,2,96070
01/08/2026,Trà Sữa Kem Trứng Nướng,M,2,88000
01/08/2026,Trà Sữa Khoai Môn Tươi,L,2,102000
01/08/2026,Matcha Latte Sữa Gấu,L,2,102000
01/08/2026,Olong Lài Sữa Trân Châu,L,2,96000
01/08/2026,Matcha Coconut,L,1,51000
01/08/2026,Cà Phê Sữa Đá (Pha Máy),L,1,40000
01/08/2026,Socola Đá Xay,M,1,33892
01/08/2026,Cà Phê Đen Đá (Pha Máy),L,1,38000
01/08/2026,Nước Cam Tươi,M,1,39000
01/08/2026,Matcha Đá Xay,M,1,44000
01/08/2026,Topping Pudding Trứng,Không ghi rõ,1,7000
01/08/2026,Topping Kem Muối,Không ghi rõ,1,7000
01/08/2026,Sữa Tươi Trân Châu Đường Đen,L,1,51000
01/08/2026,Socola Đá Xay,L,1,44302
01/08/2026,Trà Sữa Trân Châu Oreo Dầm,L,1,42630
01/08/2026,Trà Cam Dâu Đác,L,1,51000
01/08/2026,Topping Đào Ngâm,Không ghi rõ,1,7000
01/08/2026,Trà Dứa Đác Rim,L,1,51000
01/08/2026,Trà Tắc Thái Xanh,L,1,46000
01/08/2026,Trà Vải Lài,L,1,51000
01/08/2026,Trà Ổi Hồng Ngọc Trai,L,1,51000
01/08/2026,ai,Không ghi rõ,1,11000
01/08/2026,cam dou qua sua chua dau tay,Không ghi rõ,1,5000
01/08/2026,doi tt qua luc đb,Không ghi rõ,1,3000
01/08/2026,tranchauden,Không ghi rõ,1,7000
01/08/2026,trân châu đen,Không ghi rõ,1,7000
